scenario,year,value,metric,stratum,cohort,stat
S_sq,2023,19.59189856857152,asr_cancer_incidence,all,whole,median
S_sq,2024,19.498803512142715,asr_cancer_incidence,all,whole,median
S_sq,2025,19.264048525603563,asr_cancer_incidence,all,whole,median
S_sq,2026,20.584779048658408,asr_cancer_incidence,all,whole,median
S_sq,2027,19.288982206221583,asr_cancer_incidence,all,whole,median
S_sq,2028,19.89699890924039,asr_cancer_incidence,all,whole,median
S_sq,2029,20.435305222938243,asr_cancer_incidence,all,whole,median
S_sq,2030,20.322331778478905,asr_cancer_incidence,all,whole,median
S_sq,2031,19.776349591171343,asr_cancer_incidence,all,whole,median
S_sq,2032,19.930598948688097,asr_cancer_incidence,all,whole,median
S_sq,2033,19.6623088038287,asr_cancer_incidence,all,whole,median
S_sq,2034,20.292886268252097,asr_cancer_incidence,all,whole,median
S_sq,2035,20.586232984120215,asr_cancer_incidence,all,whole,median
S_sq,2036,19.443535774785115,asr_cancer_incidence,all,whole,median
S_sq,2037,19.957054646718433,asr_cancer_incidence,all,whole,median
S_sq,2038,20.63578705465979,asr_cancer_incidence,all,whole,median
S_sq,2039,19.75111692531491,asr_cancer_incidence,all,whole,median
S_sq,2040,19.68515441605849,asr_cancer_incidence,all,whole,median
S_sq,2041,19.684516456848833,asr_cancer_incidence,all,whole,median
S_sq,2042,19.27150574104001,asr_cancer_incidence,all,whole,median
S_sq,2043,18.303198130706512,asr_cancer_incidence,all,whole,median
S_sq,2044,19.74540831091935,asr_cancer_incidence,all,whole,median
S_sq,2045,18.245981716336296,asr_cancer_incidence,all,whole,median
S_sq,2046,17.983578952684514,asr_cancer_incidence,all,whole,median
S_sq,2047,17.909562651181155,asr_cancer_incidence,all,whole,median
S_sq,2048,17.549714641416447,asr_cancer_incidence,all,whole,median
S_sq,2049,17.221684541695474,asr_cancer_incidence,all,whole,median
S_sq,2050,17.727778936543523,asr_cancer_incidence,all,whole,median
S_sq,2051,16.68091668758197,asr_cancer_incidence,all,whole,median
S_sq,2052,16.099225029643744,asr_cancer_incidence,all,whole,median
S_sq,2053,16.880343905780162,asr_cancer_incidence,all,whole,median
S_sq,2054,14.730581431713793,asr_cancer_incidence,all,whole,median
S_sq,2055,15.340269018285497,asr_cancer_incidence,all,whole,median
S_sq,2056,15.21818362000838,asr_cancer_incidence,all,whole,median
S_sq,2057,14.552083794513898,asr_cancer_incidence,all,whole,median
S_sq,2058,14.164121949959894,asr_cancer_incidence,all,whole,median
S_sq,2059,13.908936807488896,asr_cancer_incidence,all,whole,median
S_sq,2060,13.092267966367377,asr_cancer_incidence,all,whole,median
S_sq,2061,12.550517783482617,asr_cancer_incidence,all,whole,median
S_sq,2062,12.604381956231274,asr_cancer_incidence,all,whole,median
S_sq,2063,12.102053109960908,asr_cancer_incidence,all,whole,median
S_sq,2064,12.33961379791797,asr_cancer_incidence,all,whole,median
S_sq,2065,12.111017354247656,asr_cancer_incidence,all,whole,median
S_sq,2066,11.20425285866756,asr_cancer_incidence,all,whole,median
S_sq,2067,10.80887271134453,asr_cancer_incidence,all,whole,median
S_sq,2068,10.431501916796488,asr_cancer_incidence,all,whole,median
S_sq,2069,10.392467071280413,asr_cancer_incidence,all,whole,median
S_sq,2070,10.400318873707908,asr_cancer_incidence,all,whole,median
S_sq,2071,10.003939023926195,asr_cancer_incidence,all,whole,median
S_sq,2072,9.641203629772612,asr_cancer_incidence,all,whole,median
S_sq,2073,9.170520370139526,asr_cancer_incidence,all,whole,median
S_sq,2074,9.336623304460144,asr_cancer_incidence,all,whole,median
S_sq,2075,9.189612094146678,asr_cancer_incidence,all,whole,median
S_sq,2076,8.777178954913357,asr_cancer_incidence,all,whole,median
S_sq,2077,8.677920264666668,asr_cancer_incidence,all,whole,median
S_sq,2078,8.706141404783107,asr_cancer_incidence,all,whole,median
S_sq,2079,8.336487288922452,asr_cancer_incidence,all,whole,median
