scenario,year,metric,stratum,cohort,stat,value
S_sq_screenup_or5,2069,new_cancers,all,pre2015_group,mean,7963.052071774006
S_sq_screenup_or5,2070,new_cancers,all,pre2015_group,mean,7457.618789165093
S_sq_screenup_or5,2071,new_cancers,all,pre2015_group,mean,7180.125966306964
S_sq_screenup_or5,2072,new_cancers,all,pre2015_group,mean,7031.469187107341
S_sq_screenup_or5,2073,new_cancers,all,pre2015_group,mean,6431.886491386689
S_sq_screenup_or5,2074,new_cancers,all,pre2015_group,mean,6161.8265643443165
S_sq_screenup_or5,2075,new_cancers,all,pre2015_group,mean,5740.632201550845
S_sq_screenup_or5,2076,new_cancers,all,pre2015_group,mean,5416.064672136846
S_sq_screenup_or5,2077,new_cancers,all,pre2015_group,mean,4999.825548607656
S_sq_screenup_or5,2078,new_cancers,all,pre2015_group,mean,4719.855113501253
S_sq_screenup_or5,2079,new_cancers,all,pre2015_group,mean,4184.6904986807895
S_sq_screenup_or5,2080,new_cancers,all,pre2015_group,mean,3936.9291409438147
S_sq_screenup_or5,2081,new_cancers,all,pre2015_group,mean,3582.630279318266
S_sq_screenup_or5,2082,new_cancers,all,pre2015_group,mean,3163.913539848869
S_sq_screenup_or5,2083,new_cancers,all,pre2015_group,mean,2988.002944695699
S_sq_screenup_or5,2084,new_cancers,all,pre2015_group,mean,2732.80872437037
S_sq_screenup_or5,2085,new_cancers,all,pre2015_group,mean,2336.390495135436
S_sq_screenup_or5,2086,new_cancers,all,pre2015_group,mean,2091.106703497567
S_sq_screenup_or5,2087,new_cancers,all,pre2015_group,mean,1935.0170709394224
S_sq_screenup_or5,2088,new_cancers,all,pre2015_group,mean,1543.553929599498
S_sq_screenup_or5,2089,new_cancers,all,pre2015_group,mean,1494.0016163332548
S_sq_screenup_or5,2090,new_cancers,all,pre2015_group,mean,1147.135561917059
S_sq_screenup_or5,2091,new_cancers,all,pre2015_group,mean,1065.3742598877902
S_sq_screenup_or5,2092,new_cancers,all,pre2015_group,mean,864.6874674902306
S_sq_screenup_or5,2093,new_cancers,all,pre2015_group,mean,720.9858181813597
S_sq_screenup_or5,2094,new_cancers,all,pre2015_group,mean,579.7617838897127
S_sq_screenup_or5,2095,new_cancers,all,pre2015_group,mean,458.3586743507728
S_sq_screenup_or5,2096,new_cancers,all,pre2015_group,mean,408.80639015850585
S_sq_screenup_or5,2097,new_cancers,all,pre2015_group,mean,289.8808984057399
S_sq_screenup_or5,2098,new_cancers,all,pre2015_group,mean,275.0152115328389
S_sq_screenup_or5,2099,new_cancers,all,pre2015_group,mean,163.5225597553358
S_sq_screenup_or5,2100,new_cancers,all,pre2015_group,mean,121.40311323087333
S_sq_screenup_or5,2030,new_cancers,all,vt_group,mean,22.29853100158898
S_sq_screenup_or5,2031,new_cancers,all,vt_group,mean,22.29853100158898
S_sq_screenup_or5,2032,new_cancers,all,vt_group,mean,37.16421833598164
S_sq_screenup_or5,2033,new_cancers,all,vt_group,mean,31.217943402224574
S_sq_screenup_or5,2034,new_cancers,all,vt_group,mean,31.85504428798426
S_sq_screenup_or5,2035,new_cancers,all,vt_group,mean,64.10827662956831
S_sq_screenup_or5,2036,new_cancers,all,vt_group,mean,78.04485850556144
S_sq_screenup_or5,2037,new_cancers,all,vt_group,mean,84.2388948948917
S_sq_screenup_or5,2038,new_cancers,all,vt_group,mean,158.56733156685496
S_sq_screenup_or5,2039,new_cancers,all,vt_group,mean,215.5524654257101
S_sq_screenup_or5,2040,new_cancers,all,vt_group,mean,279.9704420287782
S_sq_screenup_or5,2041,new_cancers,all,vt_group,mean,423.67208579974886
S_sq_screenup_or5,2042,new_cancers,all,vt_group,mean,520.299040551534
S_sq_screenup_or5,2043,new_cancers,all,vt_group,mean,711.0753553435144
S_sq_screenup_or5,2044,new_cancers,all,vt_group,mean,817.6127844704368
S_sq_screenup_or5,2045,new_cancers,all,vt_group,mean,899.3740615791547
S_sq_screenup_or5,2046,new_cancers,all,vt_group,mean,1097.5832181923647
S_sq_screenup_or5,2047,new_cancers,all,vt_group,mean,1288.3595302153951
S_sq_screenup_or5,2048,new_cancers,all,vt_group,mean,1461.7925643458684
S_sq_screenup_or5,2049,new_cancers,all,vt_group,mean,1548.509060874725
S_sq_screenup_or5,2050,new_cancers,all,vt_group,mean,1702.1211656375742
S_sq_screenup_or5,2051,new_cancers,all,vt_group,mean,1855.7332588631314
S_sq_screenup_or5,2052,new_cancers,all,vt_group,mean,2108.4499393943815
S_sq_screenup_or5,2053,new_cancers,all,vt_group,mean,2244.7187353447307
S_sq_screenup_or5,2054,new_cancers,all,vt_group,mean,2393.375622994899
S_sq_screenup_or5,2055,new_cancers,all,vt_group,mean,2556.898162444601
S_sq_screenup_or5,2056,new_cancers,all,vt_group,mean,2700.5998117534714
S_sq_screenup_or5,2057,new_cancers,all,vt_group,mean,3030.1225596646264
S_sq_screenup_or5,2058,new_cancers,all,vt_group,mean,3149.048048648442
S_sq_screenup_or5,2059,new_cancers,all,vt_group,mean,3188.6899046147396
S_sq_screenup_or5,2060,new_cancers,all,vt_group,mean,3622.272450021892
S_sq_screenup_or5,2061,new_cancers,all,vt_group,mean,3585.1082012274596
S_sq_screenup_or5,2062,new_cancers,all,vt_group,mean,3850.2130085318972
S_sq_screenup_or5,2063,new_cancers,all,vt_group,mean,4036.03406052352
S_sq_screenup_or5,2064,new_cancers,all,vt_group,mean,4221.855187738289
S_sq_screenup_or5,2065,new_cancers,all,vt_group,mean,4311.049300668844
S_sq_screenup_or5,2066,new_cancers,all,vt_group,mean,4439.885234492329
S_sq_screenup_or5,2067,new_cancers,all,vt_group,mean,4650.482493419668
S_sq_screenup_or5,2068,new_cancers,all,vt_group,mean,4970.094770186126
S_sq_screenup_or5,2069,new_cancers,all,vt_group,mean,5264.930980310342
S_sq_screenup_or5,2070,new_cancers,all,vt_group,mean,5257.49809418591
S_sq_screenup_or5,2071,new_cancers,all,vt_group,mean,5470.572957054672
S_sq_screenup_or5,2072,new_cancers,all,vt_group,mean,5497.826752241093
S_sq_screenup_or5,2073,new_cancers,all,vt_group,mean,5639.050751920864
S_sq_screenup_or5,2074,new_cancers,all,vt_group,mean,5673.73737923719
S_sq_screenup_or5,2075,new_cancers,all,vt_group,mean,5941.319764178024
S_sq_screenup_or5,2076,new_cancers,all,vt_group,mean,6028.0362270179885
S_sq_screenup_or5,2077,new_cancers,all,vt_group,mean,6246.0663393038485
S_sq_screenup_or5,2078,new_cancers,all,vt_group,mean,6213.857392998058
S_sq_screenup_or5,2079,new_cancers,all,vt_group,mean,6300.573859068462
S_sq_screenup_or5,2080,new_cancers,all,vt_group,mean,6325.350113999313
S_sq_screenup_or5,2081,new_cancers,all,vt_group,mean,6602.842952548159
S_sq_screenup_or5,2082,new_cancers,all,vt_group,mean,6736.63414594156
S_sq_screenup_or5,2083,new_cancers,all,vt_group,mean,6692.037077016008
S_sq_screenup_or5,2084,new_cancers,all,vt_group,mean,6791.1416744745175
S_sq_screenup_or5,2085,new_cancers,all,vt_group,mean,6823.350654930693
S_sq_screenup_or5,2086,new_cancers,all,vt_group,mean,6585.499642351185
S_sq_screenup_or5,2087,new_cancers,all,vt_group,mean,6910.067151459549
S_sq_screenup_or5,2088,new_cancers,all,vt_group,mean,6719.29086435707
S_sq_screenup_or5,2089,new_cancers,all,vt_group,mean,6999.261312846732
S_sq_screenup_or5,2090,new_cancers,all,vt_group,mean,6860.514904186617
S_sq_screenup_or5,2091,new_cancers,all,vt_group,mean,6778.753578621272
S_sq_screenup_or5,2092,new_cancers,all,vt_group,mean,6753.977389222241
S_sq_screenup_or5,2093,new_cancers,all,vt_group,mean,6704.425172869252
S_sq_screenup_or5,2094,new_cancers,all,vt_group,mean,6659.828127018282
S_sq_screenup_or5,2095,new_cancers,all,vt_group,mean,6491.350247237621
S_sq_screenup_or5,2096,new_cancers,all,vt_group,mean,6201.469388520166
S_sq_screenup_or5,2097,new_cancers,all,vt_group,mean,6290.66348160658
S_sq_screenup_or5,2098,new_cancers,all,vt_group,mean,6062.722813723045
S_sq_screenup_or5,2099,new_cancers,all,vt_group,mean,5931.4093114929965
S_sq_screenup_or5,2100,new_cancers,all,vt_group,mean,5710.901603111071
S_sq,2020_2125,new_cancers,all,pre2015_group,mean,1035977.2539392558
S_sq_screenup_or5,2020_2125,new_cancers,all,pre2015_group,mean,782034.1647355432
S_sq,2020_2125,new_cancers,all,vt_group,mean,509276.1485438537
S_sq_screenup_or5,2020_2125,new_cancers,all,vt_group,mean,347279.80287233857
